model,step,epoch,train_loss,learning_rate
whisper-small,100,0.01124,6.406,1.551e-06
whisper-small,200,0.02249,3.557,3.237e-06
whisper-small,300,0.03373,2.529,4.924e-06
whisper-small,400,0.04497,2.039,6.61e-06
whisper-small,500,0.05622,1.845,8.296e-06
whisper-small,600,0.06746,1.612,9.982e-06
whisper-small,700,0.0787,1.462,1.167e-05
whisper-small,800,0.08995,1.376,1.335e-05
whisper-small,900,0.1012,1.306,1.504e-05
whisper-small,1000,0.1124,1.232,1.673e-05
whisper-small,1100,0.1237,1.174,1.841e-05
whisper-small,1200,0.1349,1.134,2.01e-05
whisper-small,1300,0.1462,1.086,2.179e-05
whisper-small,1400,0.1574,1.041,2.347e-05
whisper-small,1500,0.1687,1.056,2.516e-05
whisper-small,1600,0.1799,0.9993,2.684e-05
whisper-small,1700,0.1911,1.047,2.853e-05
whisper-small,1800,0.2024,1.018,3.022e-05
whisper-small,1900,0.2136,0.9856,3.19e-05
whisper-small,2000,0.2249,0.9588,3.359e-05
whisper-small,2100,0.2361,0.9774,3.527e-05
whisper-small,2200,0.2474,0.9275,3.696e-05
whisper-small,2300,0.2586,0.8671,3.865e-05
whisper-small,2400,0.2698,0.9523,4.033e-05
whisper-small,2500,0.2811,0.9166,4.202e-05
whisper-small,2600,0.2923,0.8895,4.371e-05
whisper-small,2700,0.3036,0.881,4.539e-05
whisper-small,2800,0.3148,0.9011,4.708e-05
whisper-small,2900,0.3261,0.8684,4.876e-05
whisper-small,3000,0.3373,0.8457,5.045e-05
whisper-small,3100,0.3485,0.8922,5.214e-05
whisper-small,3200,0.3598,0.8636,5.382e-05
whisper-small,3300,0.371,0.8884,5.551e-05
whisper-small,3400,0.3823,0.8111,5.719e-05
whisper-small,3500,0.3935,0.8507,5.888e-05
whisper-small,3600,0.4048,0.8593,6.057e-05
whisper-small,3700,0.416,0.8759,6.225e-05
whisper-small,3800,0.4273,0.8607,6.394e-05
whisper-small,3900,0.4385,0.8367,6.562e-05
whisper-small,4000,0.4497,0.8437,6.731e-05
whisper-small,4100,0.461,0.8844,6.9e-05
whisper-small,4200,0.4722,0.7972,7.068e-05
whisper-small,4300,0.4835,0.833,7.237e-05
whisper-small,4400,0.4947,0.8994,7.406e-05
whisper-small,4500,0.506,0.8531,7.574e-05
whisper-small,4600,0.5172,0.8472,7.743e-05
whisper-small,4700,0.5284,0.7571,7.911e-05
whisper-small,4800,0.5397,0.8002,8.08e-05
whisper-small,4900,0.5509,0.8408,8.249e-05
whisper-small,5000,0.5622,0.8386,8.417e-05
whisper-small,5100,0.5734,0.8181,8.586e-05
whisper-small,5200,0.5847,0.8042,8.754e-05
whisper-small,5300,0.5959,0.7885,8.923e-05
whisper-small,5400,0.6072,0.8311,9.092e-05
whisper-small,5500,0.6184,0.8418,9.26e-05
whisper-small,5600,0.6296,0.8571,9.429e-05
whisper-small,5700,0.6409,0.8193,9.598e-05
whisper-small,5800,0.6521,0.8043,9.766e-05
whisper-small,5900,0.6634,0.8366,9.935e-05
whisper-small,6000,0.6746,0.8119,0.000101
whisper-small,6100,0.6859,0.8004,0.0001027
whisper-small,6200,0.6971,0.8608,0.0001044
whisper-small,6300,0.7083,0.8416,0.0001061
whisper-small,6400,0.7196,0.809,0.0001078
whisper-small,6500,0.7308,0.8691,0.0001095
whisper-small,6600,0.7421,0.8397,0.0001112
whisper-small,6700,0.7533,0.759,0.0001128
whisper-small,6800,0.7646,0.817,0.0001145
whisper-small,6900,0.7758,0.841,0.0001162
whisper-small,7000,0.787,0.7959,0.0001179
whisper-small,7100,0.7983,0.974,0.0001193
whisper-small,7200,0.8095,0.8481,0.000121
whisper-small,7300,0.8208,0.83,0.0001227
whisper-small,7400,0.832,0.83,0.0001244
whisper-small,7500,0.8433,0.7891,0.0001261
whisper-small,7600,0.8545,0.8472,0.0001277
whisper-small,7700,0.8658,0.8138,0.0001294
whisper-small,7800,0.877,0.7911,0.0001311
whisper-small,7900,0.8882,0.8068,0.0001328
whisper-small,8000,0.8995,0.8074,0.0001345
whisper-small,8100,0.9107,0.9603,0.0001362
whisper-small,8200,0.922,0.9261,0.0001379
whisper-small,8300,0.9332,0.8401,0.0001395
whisper-small,8400,0.9445,0.8561,0.0001412
whisper-small,8500,0.9557,0.8517,0.0001429
whisper-small,8600,0.9669,0.8381,0.0001446
whisper-small,8700,0.9782,0.8435,0.0001463
whisper-small,8800,0.9894,0.8613,0.000148
whisper-small,8900,1.0,0.8273,0.0001497
whisper-small,9000,1.012,0.66,0.0001513
whisper-small,9100,1.023,0.7252,0.000153
whisper-small,9200,1.034,0.6949,0.0001547
whisper-small,9300,1.045,0.7502,0.0001564
whisper-small,9400,1.057,0.7362,0.0001581
whisper-small,9500,1.068,0.7514,0.0001598
whisper-small,9600,1.079,0.7783,0.0001615
whisper-small,9700,1.09,0.7249,0.0001632
whisper-small,9800,1.102,0.7539,0.0001648
whisper-small,9900,1.113,0.7671,0.0001665
whisper-small,10000,1.124,0.7743,0.0001682
whisper-small,10100,1.135,0.7963,0.0001699
whisper-small,10200,1.147,0.754,0.0001716
whisper-small,10300,1.158,0.8275,0.0001733
whisper-small,10400,1.169,0.7503,0.000175
whisper-small,10500,1.18,0.7807,0.0001766
whisper-small,10600,1.192,0.7934,0.0001783
whisper-small,10700,1.203,0.7649,0.00018
whisper-small,10800,1.214,0.8003,0.0001817
whisper-small,10900,1.225,0.7939,0.0001834
whisper-small,11000,1.237,0.8143,0.0001851
whisper-small,11100,1.248,0.8107,0.0001868
whisper-small,11200,1.259,0.8529,0.0001884
whisper-small,11300,1.27,0.7965,0.0001901
whisper-small,11400,1.282,0.8338,0.0001918
whisper-small,11500,1.293,0.8063,0.0001935
whisper-small,11600,1.304,0.8235,0.0001952
whisper-small,11700,1.315,0.7813,0.0001969
whisper-small,11800,1.327,0.7763,0.0001986
whisper-small,11900,1.338,0.7876,0.0002002
whisper-small,12000,1.349,0.8575,0.0002019
whisper-small,12100,1.36,0.7961,0.0002036
whisper-small,12200,1.371,0.8321,0.0002053
whisper-small,12300,1.383,0.9049,0.000207
whisper-small,12400,1.394,0.8488,0.0002087
whisper-small,12500,1.405,0.801,0.0002104
whisper-small,12600,1.416,0.8744,0.0002121
whisper-small,12700,1.428,0.8958,0.0002137
whisper-small,12800,1.439,0.8661,0.0002154
whisper-small,12900,1.45,0.8582,0.0002171
whisper-small,13000,1.461,0.854,0.0002188
whisper-small,13100,1.473,0.8721,0.0002205
whisper-small,13200,1.484,0.7856,0.0002222
whisper-small,13300,1.495,0.8396,0.0002239
whisper-small,13400,1.506,0.8918,0.0002255
whisper-small,13500,1.518,0.8742,0.0002272
whisper-small,13600,1.529,0.8581,0.0002289
whisper-small,13700,1.54,0.8842,0.0002306
whisper-small,13800,1.551,0.8462,0.0002323
whisper-small,13900,1.563,0.8434,0.000234
whisper-small,14000,1.574,0.8637,0.0002357
whisper-small,14100,1.585,0.8813,0.0002373
whisper-small,14200,1.596,0.9062,0.000239
whisper-small,14300,1.608,0.8372,0.0002407
whisper-small,14400,1.619,0.8309,0.0002424
whisper-small,14500,1.63,0.8131,0.0002441
whisper-small,14600,1.641,0.895,0.0002458
whisper-small,14700,1.653,0.8276,0.0002475
whisper-small,14800,1.664,0.903,0.0002491
whisper-small,14900,1.675,0.8451,0.0002508
whisper-small,15000,1.686,0.9184,0.0002525
whisper-small,15100,1.698,0.9121,0.0002542
whisper-small,15200,1.709,0.8402,0.0002559
whisper-small,15300,1.72,0.9216,0.0002576
whisper-small,15400,1.731,0.9515,0.0002593
whisper-small,15500,1.743,0.8527,0.0002609
whisper-small,15600,1.754,0.9328,0.0002626
whisper-small,15700,1.765,0.9201,0.0002643
whisper-small,15800,1.776,0.8683,0.000266
whisper-small,15900,1.787,0.9154,0.0002677
whisper-small,16000,1.799,0.9451,0.0002694
whisper-medium,100,0.01124,9.542,5.396e-08
whisper-medium,200,0.02249,9.393,1.102e-07
whisper-medium,300,0.03373,8.89,1.664e-07
whisper-medium,400,0.04498,8.027,2.226e-07
whisper-medium,500,0.05622,6.793,2.788e-07
whisper-medium,600,0.06747,5.536,3.35e-07
whisper-medium,700,0.07871,4.802,3.912e-07
whisper-medium,800,0.08995,4.278,4.474e-07
whisper-medium,900,0.1012,3.87,5.036e-07
whisper-medium,1000,0.1124,3.711,5.598e-07
whisper-medium,1100,0.1237,3.569,6.16e-07
whisper-medium,1200,0.1349,3.317,6.722e-07
whisper-medium,1300,0.1462,3.137,7.284e-07
